cell_id	label	lab_color
f344_c76	Proliferating.B.Cell	orchid
f344_c760	dropped	grey30
f344_c761	dropped	grey30
f344_c762	Proliferating.B.Cell	orchid
f344_c763	dropped	grey30
f344_c764	dropped	grey30
f344_c765	dropped	grey30
f344_c766	Proliferating.B.Cell	orchid
f344_c767	dropped	grey30
f344_c768	dropped	grey30
f344_c769	dropped	grey30
f344_c77	dropped	grey30
f344_c770	dropped	grey30
f344_c771	dropped	grey30
f344_c772	dropped	grey30
f344_c773	dropped	grey30
f344_c774	dropped	grey30
f344_c775	dropped	grey30
f344_c776	dropped	grey30
f344_c777	Proliferating.B.Cell	orchid
f344_c778	dropped	grey30
f344_c779	dropped	grey30
f344_c78	Proliferating.B.Cell	orchid
f344_c780	dropped	grey30
f344_c781	Proliferating.B.Cell	orchid
f344_c782	dropped	grey30
f344_c783	dropped	grey30
f344_c784	Proliferating.B.Cell	orchid
f344_c785	dropped	grey30
f344_c786	dropped	grey30
f344_c787	dropped	grey30
f344_c788	dropped	grey30
f344_c789	dropped	grey30
f344_c79	Proliferating.B.Cell	orchid
f344_c790	dropped	grey30
f344_c791	dropped	grey30
f344_c792	dropped	grey30
f344_c793	Proliferating.B.Cell	orchid
f344_c794	dropped	grey30
f344_c795	dropped	grey30
f344_c796	dropped	grey30
f344_c797	dropped	grey30
f344_c798	dropped	grey30
f344_c799	Proliferating.B.Cell	orchid
f344_c8	dropped	grey30
f344_c80	dropped	grey30
f344_c800	dropped	grey30
f344_c801	dropped	grey30
f344_c802	unknown	#c0c8cf
f344_c803	dropped	grey30
f344_c804	Proliferating.B.Cell	orchid
f344_c805	dropped	grey30
f344_c806	dropped	grey30
f344_c807	dropped	grey30
f344_c808	dropped	grey30
f344_c809	dropped	grey30
f344_c81	dropped	grey30
f344_c810	dropped	grey30
f344_c811	dropped	grey30
f344_c812	dropped	grey30
f344_c813	dropped	grey30
f344_c814	dropped	grey30
f344_c815	dropped	grey30
f344_c816	dropped	grey30
f344_c817	dropped	grey30
f344_c818	dropped	grey30
f344_c819	dropped	grey30
f344_c82	dropped	grey30
f344_c820	dropped	grey30
f344_c821	dropped	grey30
f344_c822	dropped	grey30
f344_c823	dropped	grey30
f344_c824	dropped	grey30
f344_c825	dropped	grey30
f344_c826	dropped	grey30
f344_c827	Proliferating.B.Cell	orchid
f344_c828	dropped	grey30
f344_c829	dropped	grey30
f344_c83	dropped	grey30
f344_c830	dropped	grey30
f344_c831	Proliferating.B.Cell	orchid
f344_c832	dropped	grey30
f344_c833	dropped	grey30
f344_c834	dropped	grey30
f344_c835	dropped	grey30
f344_c836	dropped	grey30
f344_c837	dropped	grey30
f344_c838	dropped	grey30
f344_c839	dropped	grey30
f344_c84	dropped	grey30
f344_c840	dropped	grey30
f344_c841	dropped	grey30
f344_c842	dropped	grey30
f344_c843	Tfh	#134502
f344_c844	dropped	grey30
f344_c845	Proliferating.B.Cell	orchid
f344_c846	dropped	grey30
f344_c847	dropped	grey30
f344_c848	dropped	grey30
f344_c849	dropped	grey30
f344_c85	Proliferating.B.Cell	orchid
f344_c850	dropped	grey30
f344_c851	dropped	grey30
f344_c852	dropped	grey30
f344_c853	dropped	grey30
f344_c854	dropped	grey30
f344_c855	dropped	grey30
f344_c856	dropped	grey30
f344_c857	dropped	grey30
f344_c858	dropped	grey30
f344_c859	dropped	grey30
f344_c86	dropped	grey30
f344_c860	dropped	grey30
f344_c861	dropped	grey30
f344_c862	dropped	grey30
f344_c863	dropped	grey30
f344_c864	dropped	grey30
f344_c865	dropped	grey30
f344_c866	dropped	grey30
f344_c867	dropped	grey30
f344_c868	dropped	grey30
f344_c869	dropped	grey30
f344_c87	dropped	grey30
f344_c870	dropped	grey30
f344_c871	dropped	grey30
f344_c872	dropped	grey30
f344_c873	dropped	grey30
f344_c874	Proliferating.B.Cell	orchid
f344_c875	dropped	grey30
f344_c876	dropped	grey30
f344_c877	dropped	grey30
f344_c878	dropped	grey30
f344_c879	dropped	grey30
f344_c88	Proliferating.B.Cell	orchid
f344_c880	Proliferating.B.Cell	orchid
f344_c881	dropped	grey30
f344_c882	dropped	grey30
f344_c883	dropped	grey30
f344_c884	dropped	grey30
f344_c885	dropped	grey30
f344_c886	dropped	grey30
f344_c887	dropped	grey30
f344_c888	dropped	grey30
f344_c889	dropped	grey30
f344_c89	dropped	grey30
